"ref_name","ARO Term","ARO Accession","NCBI","init_final","Model Sequence ID","CVTERM ID","ARO Name","Protein Accession","DNA Accession","AMR Gene Family","Drug Class","Resistance Mechanism"
"lsaA.3000300.AY225127.1.40-1537.5171","lsaA",3000300,"AY225127 . 1","40-1537","5171",36439,"lsaA","AAO43110.1","AY225127.1","ABC-F ATP-binding cassette ribosomal protection protein","lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic","antibiotic target protection"
"gshF.3003805.CP014949.1.1661364-1663635.5214","gshF",3003805,"CP014949 . 1","1661364-1663635","5214",40490,"Enterococcus faecalis gshF with mutation conferring daptomycin resistance","AMR95642.1","CP014949.1","daptomycin resistant gshF","peptide antibiotic","antibiotic target alteration"
"Enterococcus_faecalis_cls.3003760.CP002621.1.376485-377931.3537","Enterococcus_faecalis_cls",3003760,"CP002621 . 1","376485-377931","3537",40417,"Enterococcus faecalis cls with mutation conferring resistance to daptomycin","AEA93051.1","CP002621.1","daptomycin resistant cls","peptide antibiotic","antibiotic target alteration"
"TEM-194.3001054.JN935136.0-861.1325","TEM-194",3001054,"JN935136","0-861","1325",37434,"TEM-194","AFC75524.1","JN935136","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-60.3000929.AF047171.135-996.1079","TEM-60",3000929,"AF047171","135-996","1079",37309,"TEM-60","AAC05975.1","AF047171","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"TEM-177.3001042.FN652295.0-861.1401","TEM-177",3001042,"FN652295","0-861","1401",37422,"TEM-177","CBJ06718.1","FN652295","TEM beta-lactamase","cephalosporin;monobactam;penam;penem","antibiotic inactivation"
"mphC.3000319.AB013298.1.2295-3195.5190","mphC",3000319,"AB013298 . 1","2295-3195","5190",36458,"mphC","BAA34540.1","AB013298.1","macrolide phosphotransferase (MPH)","macrolide antibiotic","antibiotic inactivation"
"dfrA17.3002860.DQ838665.0-474.291","dfrA17",3002860,"DQ838665","0-474","291",39294,"dfrA17","ABG91835.1","DQ838665","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic","antibiotic target replacement"
"cfr(B).3004649.HG002396.1.5272-6322.5492","cfr(B)",3004649,"HG002396 . 1","5272-6322","5492",42670,"cfr(B)","CDF47262.1","HG002396.1","Cfr 23S ribosomal RNA methyltransferase","lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;streptogramin antibiotic","antibiotic target alteration"
"clcD.3004599.KM359438.1.0-1050.5192","clcD",3004599,"KM359438 . 1","0-1050","5192",42532,"clcD","AIX48090.1","KM359438.1","Cfr 23S ribosomal RNA methyltransferase","lincosamide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic","antibiotic target alteration"
"ACT-17.3001838.KF992026.753-1899.1418","ACT-17",3001838,"KF992026","753-1899","1418",38238,"ACT-17","AHM76771.1","KF992026","ACT beta-lactamase","carbapenem;cephalosporin;cephamycin;penam","antibiotic inactivation"
"ACT-27.3001847.KJ207209.454-1600.941","ACT-27",3001847,"KJ207209","454-1600","941",38247,"ACT-27","AHL39340.1","KJ207209","ACT beta-lactamase","carbapenem;cephalosporin;cephamycin;penam","antibiotic inactivation"
"ACT-33.3001853.KM087834.1.0-1146.3684","ACT-33",3001853,"KM087834 . 1","0-1146","3684",38253,"ACT-33","AIT76087.1","KM087834.1","ACT beta-lactamase","carbapenem;cephalosporin;cephamycin;penam","antibiotic inactivation"
"ACT-20.3001841.KF526117.0-1146.1853","ACT-20",3001841,"KF526117","0-1146","1853",38241,"ACT-20","AHA80105.1","KF526117","ACT beta-lactamase","carbapenem;cephalosporin;cephamycin;penam","antibiotic inactivation"
"ACT-32.3001852.KM087835.0-1146.1419","ACT-32",3001852,"KM087835","0-1146","1419",38252,"ACT-32","AIT76088.1","KM087835","ACT beta-lactamase","carbapenem;cephalosporin;cephamycin;penam","antibiotic inactivation"
"ACT-30.3001850.KM087833.0-1146.1263","ACT-30",3001850,"KM087833","0-1146","1263",38250,"ACT-30","AIT76086.1","KM087833","ACT beta-lactamase","carbapenem;cephalosporin;cephamycin;penam","antibiotic inactivation"
"ACT-7.3001830.FJ237368.0-1146.759","ACT-7",3001830,"FJ237368","0-1146","759",38230,"ACT-7","ACJ05688.1","FJ237368","ACT beta-lactamase","carbapenem;cephalosporin;cephamycin;penam","antibiotic inactivation"
"ACT-35.3001855.LC004922.0-1146.1584","ACT-35",3001855,"LC004922","0-1146","1584",38255,"ACT-35","BAP68758.1","LC004922","ACT beta-lactamase","carbapenem;cephalosporin;cephamycin;penam","antibiotic inactivation"
"vanG.3002909.DQ212986.5984-7034.300","vanG",3002909,"DQ212986","5984-7034","300",39343,"vanG","ABA71731.1","DQ212986","glycopeptide resistance gene cluster;van ligase","glycopeptide antibiotic","antibiotic target alteration"
"mphB.3000318.AE005174.2.3397370-3397847.5189","mphB",3000318,"AE005174 . 2","3397370-3397847","5189",36457,"mphB","BAA12910.1","D85892.1","macrolide phosphotransferase (MPH)","macrolide antibiotic","antibiotic inactivation"
"Mycobacterium_intracellulare_23S.3004167.NR_076151.1.0-3103.4159","Mycobacterium_intracellulare_23S",3004167,"NR_076151 . 1","0-3103","4159",41316,"Mycobacterium intracellulare 23S rRNA with mutation conferring resistance to azithromycin",NA,"NR_076151.1","23S rRNA with mutation conferring resistance to macrolide antibiotics","glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic","antibiotic target alteration"
"Mycobacterium_intracellulare_23S.3004166.NR_076151.1.0-3103.4177","Mycobacterium_intracellulare_23S",3004166,"NR_076151 . 1","0-3103","4177",41315,"Mycobacterium intracellulare 23S rRNA with mutation conferring resistance to clarithromycin",NA,"NR_076151.1","23S rRNA with mutation conferring resistance to macrolide antibiotics","glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic","antibiotic target alteration"
"Escherichia_coli_ampC1.3004611.FN649414.1.2765050-2766355.5236","Escherichia_coli_ampC1",3004611,"FN649414 . 1","2765050-2766355","5236",42575,"Escherichia coli ampC1 beta-lactamase","CBJ02047.1","FN649414.1","ampC-type beta-lactamase","cephalosporin;penam","antibiotic inactivation"
"AAC(6')-Ii.3002556.L12710.0-549.172","AAC(6')-Ii",3002556,"L12710","0-549","172",38956,"AAC(6')-Ii","AAB63533.1","L12710","AAC(6')","aminoglycoside antibiotic","antibiotic inactivation"
"mgrB.3003820.NC_000913.3.1908622-1908766.3586","mgrB",3003820,"NC_000913 . 3","1908622-1908766","3586",40510,"mgrB","NP_416340.1","NC_000913.3","ATP-binding cassette (ABC) antibiotic efflux pump;pmr phosphoethanolamine transferase","macrolide antibiotic;peptide antibiotic","antibiotic efflux;antibiotic target alteration;resistance by absence"
"kdpE.3003841.U00096.3.721055-721733.5205","kdpE",3003841,"U00096 . 3","721055-721733","5205",40534,"kdpE","AAC73788.1","U00096.3","kdpDE","aminoglycoside antibiotic","antibiotic efflux"
"APH(2'')-If.3004191.AY701528.1.9695-10589.4188","APH(2'')-If",3004191,"AY701528 . 1","9695-10589","4188",41355,"APH(2'')-If","AAW34150.1","AY701528.1","APH(2'')","aminoglycoside antibiotic","antibiotic inactivation"
"tetS.3000192.L09756.0-1926.619","tetS",3000192,"L09756","0-1926","619",36331,"tetS","AAA25293.1","L09756","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection"
"lnuB.3002836.AJ238249.1.126-930.5197","lnuB",3002836,"AJ238249 . 1","126-930","5197",39270,"lnuB","CAB41414.1","AJ238249.1","lincosamide nucleotidyltransferase (LNU)","lincosamide antibiotic","antibiotic inactivation"
"dfrA1.3002854.KJ541681.1.19526-20000.5109","dfrA1",3002854,"KJ541681 . 1","19526-20000","5109",39288,"dfrA1","AAP74961.2","KJ541681.1","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic","antibiotic target replacement"
"acrR.3003374.AJ306389.1.636-1287.4661","acrR",3003374,"AJ306389 . 1","636-1287","4661",39958,"Klebsiella aerogenes acrR with mutation conferring multidrug antibiotic resistance","CAC35723.1","AJ306389.1","resistance-nodulation-cell division (RND) antibiotic efflux pump","cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan","antibiotic efflux;antibiotic target alteration"
"lsaE.3003206.AF408195.1.9446-10250.5177","lsaE",3003206,"AF408195 . 1","9446-10250","5177",39790,"lsaE","AAL05554.1","AF408195.1","ABC-F ATP-binding cassette ribosomal protection protein","lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic","antibiotic target protection"
"AAC(3)-IId.3004623.EU022314.1.0-861.5344","AAC(3)-IId",3004623,"EU022314 . 1","0-861","5344",42605,"AAC(3)-IId","ABS70977.1","EU022314.1","AAC(3)","aminoglycoside antibiotic","antibiotic inactivation"
"vanTC.3002970.AF162694.3007-5104.151","vanTC",3002970,"AF162694","3007-5104","151",39404,"vanTC","AAD22403.1","AF162694","glycopeptide resistance gene cluster;vanT","glycopeptide antibiotic","antibiotic target alteration"
"dfrA12.3002858.GU585907.1.21605-22103.5110","dfrA12",3002858,"GU585907 . 1","21605-22103","5110",39292,"dfrA12","ADG84870.1","GU585907.1","trimethoprim resistant dihydrofolate reductase dfr","diaminopyrimidine antibiotic","antibiotic target replacement"
"MexE.3000803.AE004091.2.2808742-2809987.5525","MexE",3000803,"AE004091 . 2","2808742-2809987","5525",37183,"MexE","AAG05881.1","AE004091.2","resistance-nodulation-cell division (RND) antibiotic efflux pump","diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic","antibiotic efflux"
"parE.3003685.AE004091.2.5576027-5577917.5275","parE",3003685,"AE004091 . 2","5576027-5577917","5275",40320,"Pseudomonas aeruginosa parE conferring resistance to fluoroquinolones","AAG08352.1","AE004091.2","fluoroquinolone resistant parE","fluoroquinolone antibiotic","antibiotic target alteration"
"liaR.3003792.AE016830.1.2789113-2789746.5215","liaR",3003792,"AE016830 . 1","2789113-2789746","5215",40477,"Enterococcus faecalis liaR mutant conferring daptomycin resistance","AAO82599.1","AE016830.1","daptomycin resistant liaR","peptide antibiotic","antibiotic efflux;antibiotic target alteration"
"ErmT.3000595.M64090.0-735.367","ErmT",3000595,"M64090","0-735","367",36734,"ErmT","AAA98096.1","M64090","Erm 23S ribosomal RNA methyltransferase","lincosamide antibiotic;macrolide antibiotic;streptogramin antibiotic","antibiotic target alteration"
"OXA-63.3001764.AY619003.703-1510.1615","OXA-63",3001764,"AY619003","703-1510","1615",38164,"OXA-63","AAU88145.1","AY619003","OXA beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"MexG.3000806.AE004091.2.4705955-4706402.5202","MexG",3000806,"AE004091 . 2","4705955-4706402","5202",37186,"MexG","AAG07592.1","AE004091.2","resistance-nodulation-cell division (RND) antibiotic efflux pump","acridine dye;disinfecting agents and intercalating dyes;fluoroquinolone antibiotic;tetracycline antibiotic","antibiotic efflux"
"MexD.3000801.U57969.1485-4617.335","MexD",3000801,"U57969","1485-4617","335",37181,"MexD","AAB41957.1","U57969","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic","antibiotic efflux"
"mprF.3003774.AE009948.1.2111276-2113820.4634","mprF",3003774,"AE009948 . 1","2111276-2113820","4634",40449,"Streptococcus agalactiae mprF","AAN00989.1","AE009948.1","defensin resistant mprF","peptide antibiotic","antibiotic target alteration"
"OXA-192.3001766.JF273470.0-810.1756","OXA-192",3001766,"JF273470","0-810","1756",38166,"OXA-192","ADZ54048.1","JF273470","OXA beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"OXA-478.3003635.KR182171.1.0-810.5735","OXA-478",3003635,"KR182171 . 1","0-810","5735",40245,"OXA-478","ALC79293.1","KR182171.1","OXA beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"vanYD.3002957.AY082011.3848-4265.338","vanYD",3002957,"AY082011","3848-4265","338",39391,"vanYD","AAM09853.1","AY082011","glycopeptide resistance gene cluster;vanY","glycopeptide antibiotic","antibiotic target alteration"
"APH(3')-VIIa.3002654.M29953.295-1048.326","APH(3')-VIIa",3002654,"M29953","295-1048","326",39054,"APH(3')-VIIa","AAA76822.1","M29953","APH(3')","aminoglycoside antibiotic","antibiotic inactivation"
"emrE.3004039.Z11877.1.485-818.4413","emrE",3004039,"Z11877 . 1","485-818","4413",41083,"Escherichia coli emrE","CAA77936.1","Z11877.1","small multidrug resistance (SMR) antibiotic efflux pump","macrolide antibiotic","antibiotic efflux"
"mecR1.3000215.CP000703.1.40848-42606.5486","mecR1",3000215,"CP000703 . 1","40848-42606","5486",36354,"mecR1","ABQ47844.1","CP000703.1","methicillin resistant PBP2","carbapenem;cephalosporin;cephamycin;monobactam;penam","antibiotic target replacement"
"AAC(6')-Ib11.3002582.AY136758.377-947.366","AAC(6')-Ib11",3002582,"AY136758","377-947","366",38982,"AAC(6')-Ib11","AAN41403.1","AY136758","AAC(6')","aminoglycoside antibiotic","antibiotic inactivation"
"AAC(3)-IIe.3004621.EU022315.1.0-861.5340","AAC(3)-IIe",3004621,"EU022315 . 1","0-861","5340",42600,"AAC(3)-IIe","ABS70978.1","EU022315.1","AAC(3)","aminoglycoside antibiotic","antibiotic inactivation"
"AAC(6')-Ib'.3003676.AY660529.1.121-676.4753","AAC(6')-Ib'",3003676,"AY660529 . 1","121-676","4753",40308,"AAC(6')-Ib'","AAT74613.1","AY660529.1","AAC(6')","aminoglycoside antibiotic","antibiotic inactivation"
"AAC(6')-Ib4.3002577.AF445082.2788-3343.401","AAC(6')-Ib4",3002577,"AF445082","2788-3343","401",38977,"AAC(6')-Ib4","AAL38577.1","AF445082","AAC(6')","aminoglycoside antibiotic","antibiotic inactivation"
"AAC(6')-Ib10.3002581.U59183.247-859.314","AAC(6')-Ib10",3002581,"U59183","247-859","314",38981,"AAC(6')-Ib10","AAC46343.1","U59183","AAC(6')","aminoglycoside antibiotic","antibiotic inactivation"
"tet(L).3000179.M11036.0-1377.518","tet(L)",3000179,"M11036","0-1377","518",36318,"tet(L)","AAA22851.1","M11036","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux"
"AAC(6')-Ib9.3002580.AF043381.251-863.463","AAC(6')-Ib9",3002580,"AF043381","251-863","463",38980,"AAC(6')-Ib9","AAD02244.1","AF043381","AAC(6')","aminoglycoside antibiotic","antibiotic inactivation"
"AAC(6')-Ib-cr.3002547.DQ303918.0-600.272","AAC(6')-Ib-cr",3002547,"DQ303918","0-600","272",38947,"AAC(6')-Ib-cr1","WP_071846215.1","NG_052213.1","AAC(6')-Ib-cr","aminoglycoside antibiotic;fluoroquinolone antibiotic","antibiotic inactivation"
"AAC(6')-30/AAC(6')-Ib'_fusion_protein.3002599.AJ584652.1926-2913.186","AAC(6')-30/AAC(6')-Ib'_fusion_protein",3002599,"AJ584652","1926-2913","186",38999,"AAC(6')-30/AAC(6')-Ib' fusion protein","CAE48335.2","AJ584652","AAC(6')","aminoglycoside antibiotic","antibiotic inactivation"
"ANT(3'')-Ii-AAC(6')-IId_fusion_protein.3002598.AF453998.3554-4946.16","ANT(3'')-Ii-AAC(6')-IId_fusion_protein",3002598,"AF453998","3554-4946","16",38998,"ANT(3'')-Ii-AAC(6')-IId fusion protein","AAL51021.2","AF453998","AAC(6');ANT(3'')","aminoglycoside antibiotic","antibiotic inactivation"
"liaS.3003079.CP003583.913745-914813.37","liaS",3003079,"CP003583","913745-914813","37",39626,"Enterococcus faecium liaS mutant conferring daptomycin resistance","AFK58561.1","CP003583","daptomycin resistant liaS","peptide antibiotic","antibiotic efflux;antibiotic target alteration"
"Mycoplasma_hominis_23S.3004176.CP011538.1.333282-336166.4166","Mycoplasma_hominis_23S",3004176,"CP011538 . 1","333282-336166","4166",41327,"Mycoplasma hominis 23S rRNA with mutation conferring resistance to macrolide antibiotics",NA,"CP011538.1","23S rRNA with mutation conferring resistance to macrolide antibiotics","glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic","antibiotic target alteration"
"CcrA.3000578.M63556.90-840.1275","CcrA",3000578,"M63556","90-840","1275",36717,"CcrA","AAA22904.1","M63556","CfiA beta-lactamase","carbapenem","antibiotic inactivation"
"EreD.3004608.KP265721.1.331-1558.5235","EreD",3004608,"KP265721 . 1","331-1558","5235",42572,"EreD","AKO71461.1","KP265721.1","macrolide esterase","macrolide antibiotic","antibiotic inactivation"
"rpoC.3003291.BX571856.1.594518-598142.5406","rpoC",3003291,"BX571856 . 1","594518-598142","5406",39875,"Staphylococcus aureus rpoC conferring resistance to daptomycin","CAG39569.1","BX571856.1","daptomycin-resistant beta prime subunit of RNA polymerase (rpoC)","peptide antibiotic","antibiotic target alteration"
"vanSD.3002934.EU999036.688-1390.3440","vanSD",3002934,"EU999036","688-1390","3440",39368,"vanSD","ACM47284","EU999036","glycopeptide resistance gene cluster;vanS","glycopeptide antibiotic","antibiotic target alteration"
"CMY-51.3002062.JQ733571.1027-2173.904","CMY-51",3002062,"JQ733571","1027-2173","904",38462,"CMY-51","AFK73431.1","JQ733571","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-105.3002117.KJ207205.1039-2185.1623","CMY-105",3002117,"KJ207205","1039-2185","1623",38517,"CMY-105","AHL39330.1","KJ207205","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-112.3002123.KM087837.0-1146.781","CMY-112",3002123,"KM087837","0-1146","781",38523,"CMY-112","AIT76090.1","KM087837","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-47.3002058.HM046998.1039-2185.1816","CMY-47",3002058,"HM046998","1039-2185","1816",38458,"CMY-47","ADH82410.1","HM046998","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-48.3002059.HM569226.1039-2185.1896","CMY-48",3002059,"HM569226","1039-2185","1896",38459,"CMY-48","ADP02979.1","HM569226","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-68.3002081.JN714480.1039-2185.945","CMY-68",3002081,"JN714480","1039-2185","945",38481,"CMY-68","AEZ49855.1","JN714480","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-65.3002078.JF780936.63-1209.1994","CMY-65",3002078,"JF780936","63-1209","1994",38478,"CMY-65","AEI52842.1","JF780936","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-118.3002129.KM087838.0-1146.1265","CMY-118",3002129,"KM087838","0-1146","1265",38529,"CMY-118","AIT76091.1","KM087838","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-110.3002071.AB872957.1.0-1146.5299","CMY-110",3002071,"AB872957 . 1","0-1146","5299",38471,"CMY-110","BAO05497.1","AB872957.1","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-67.3002080.JQ711185.1027-2173.864","CMY-67",3002080,"JQ711185","1027-2173","864",38480,"CMY-67","AFK08541.1","JQ711185","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-103.3002115.KF526116.0-1146.1441","CMY-103",3002115,"KF526116","0-1146","1441",38515,"CMY-103","AHA80104.1","KF526116","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-75.3002088.JQ733572.1027-2173.1587","CMY-75",3002088,"JQ733572","1027-2173","1587",38488,"CMY-75","AFK73434.1","JQ733572","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-41.3002052.AB429270.14-1160.1345","CMY-41",3002052,"AB429270","14-1160","1345",38452,"CMY-41","BAG14343.1","AB429270","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-114.3002125.KM087846.0-1146.943","CMY-114",3002125,"KM087846","0-1146","943",38525,"CMY-114","AIT76099.1","KM087846","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-50.3002061.FN645444.0-1146.822","CMY-50",3002061,"FN645444","0-1146","822",38461,"CMY-50","CBI75447.1","FN645444","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-81.3002094.JQ733578.1007-2153.823","CMY-81",3002094,"JQ733578","1007-2153","823",38494,"CMY-81","AFK73452.1","JQ733578","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-76.3002089.JQ733573.1027-2173.1664","CMY-76",3002089,"JQ733573","1027-2173","1664",38489,"CMY-76","AFK73437.1","JQ733573","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"arnA.3002985.AE004091.2.3982020-3984009.5385","arnA",3002985,"AE004091 . 2","3982020-3984009","5385",39419,"arnA","AAG06942.1","AE004091.2","pmr phosphoethanolamine transferase","peptide antibiotic","antibiotic target alteration"
"nalD.3000819.AE004091.2.4006509-4007148.5527","nalD",3000819,"AE004091 . 2","4006509-4007148","5527",37199,"nalD","AAG06962.1","AE004091.2","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic","antibiotic efflux"
"CMY-44.3002055.FJ437066.0-1134.1586","CMY-44",3002055,"FJ437066","0-1134","1586",38455,"CMY-44","ACJ65711.1","FJ437066","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-133.3003653.KP862819.1.0-1146.5776","CMY-133",3003653,"KP862819 . 1","0-1146","5776",40263,"CMY-133","AKZ20821.1","KP862819.1","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-42.3002053.HM146927.0-1146.1422","CMY-42",3002053,"HM146927","0-1146","1422",38453,"CMY-42","ADM21467.1","HM146927","CMY beta-lactamase","cephalosporin;cephamycin","antibiotic inactivation"
"CMY-26.3002037.AB300358.0-1146.1361","CMY-26",3002037,"AB300358","0-1146","1361",38437,"CMY-26","BAF56185.1","AB300358","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-6.3002017.AJ011293.0-1146.1548","CMY-6",3002017,"AJ011293","0-1146","1548",38417,"CMY-6","CAB36902.1","AJ011293","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-69.3002082.JX049132.0-1146.1022","CMY-69",3002082,"JX049132","0-1146","1022",38482,"CMY-69","AGE45504.1","JX049132","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-28.3002039.EF561644.0-1146.1547","CMY-28",3002039,"EF561644","0-1146","1547",38439,"CMY-28","ABQ51091.1","EF561644","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-17.3002028.AY513266.164-1310.1895","CMY-17",3002028,"AY513266","164-1310","1895",38428,"CMY-17","AAS13399.1","AY513266","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-86.3002099.KJ207204.579-1725.1197","CMY-86",3002099,"KJ207204","579-1725","1197",38499,"CMY-86","AHL39327.1","KJ207204","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-15.3002026.AJ555823.0-1146.1737","CMY-15",3002026,"AJ555823","0-1146","1737",38426,"CMY-15","CAD88477.1","AJ555823","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-49.3002060.GQ402541.0-1146.1975","CMY-49",3002060,"GQ402541","0-1146","1975",38460,"CMY-49","ACV32310.1","GQ402541","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-22.3002033.DQ256079.0-1146.1035","CMY-22",3002033,"DQ256079","0-1146","1035",38433,"CMY-22","ABB72431.1","DQ256079","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-54.3002065.HM544039.0-1152.1036","CMY-54",3002065,"HM544039","0-1152","1036",38465,"CMY-54","ADK55604.1","HM544039","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-18.3002029.AY743434.46-1198.1974","CMY-18",3002029,"AY743434","46-1198","1974",38429,"CMY-18","AAU95778.1","AY743434","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-5.3002016.Y17716.1.2373-3519.5257","CMY-5",3002016,"Y17716 . 1","2373-3519","5257",38416,"CMY-5","CAB50867.1","Y17716.1","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-119.3002130.KM087845.0-1146.1344","CMY-119",3002130,"KM087845","0-1146","1344",38530,"CMY-119","AIT76098.1","KM087845","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-16.3002027.AJ781421.0-1146.1815","CMY-16",3002027,"AJ781421","0-1146","1815",38427,"CMY-16","CAH03679.1","AJ781421","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-32.3002043.EU496815.0-1146.1858","CMY-32",3002043,"EU496815","0-1146","1858",38443,"CMY-32","ACA97846.1","EU496815","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-2.3002013.X91840.0-1146.821","CMY-2",3002013,"X91840","0-1146","821",38413,"CMY-2","CAA62957.1","X91840","CMY beta-lactamase","carbapenem;cephalosporin;cephamycin;penam","antibiotic inactivation"
"CMY-111.3002122.KJ155695.0-1146.1992","CMY-111",3002122,"KJ155695","0-1146","1992",38522,"CMY-111","AHW47897.1","KJ155695","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-27.3002038.EU515250.0-1146.1442","CMY-27",3002038,"EU515250","0-1146","1442",38438,"CMY-27","ACA30421.1","EU515250","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-43.3002054.FJ360626.0-1146.1508","CMY-43",3002054,"FJ360626","0-1146","1508",38454,"CMY-43","ACJ05361.1","FJ360626","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-94.3002107.JX514368.271-1417.1626","CMY-94",3002107,"JX514368","271-1417","1626",38507,"CMY-94","AGC54798.1","JX514368","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-61.3002074.JF460795.0-1143.1701","CMY-61",3002074,"JF460795","0-1143","1701",38474,"CMY-61","AEM97673.1","JF460795","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-24.3002035.EF415650.0-1146.1195","CMY-24",3002035,"EF415650","0-1146","1195",38435,"CMY-24","ABN69070.1","EF415650","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-7.3002018.AJ011291.0-1146.1100","CMY-7",3002018,"AJ011291","0-1146","1100",38418,"CMY-7","CAB36900.1","AJ011291","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-108.3002120.KF564648.0-1146.1775","CMY-108",3002120,"KF564648","0-1146","1775",38520,"CMY-108","AGZ20169.1","KF564648","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"LAT-1.3001857.X78117.141-1287.1988","LAT-1",3001857,"X78117","141-1287","1988",38257,"LAT-1","CAA55007.1","X78117","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-95.3002108.JX514369.296-1442.1702","CMY-95",3002108,"JX514369","296-1442","1702",38508,"CMY-95","AGC54799.1","JX514369","CMY beta-lactamase","cephamycin","antibiotic inactivation"
"CMY-13.3002024.AY339625.3640-4786.4561","CMY-13",3002024,"AY339625","3640-4786","4561",38424,"CMY-13","AAQ16660.2","AY339625","CMY beta-lactamase","cephamycin","antibiotic inactivation"
